SL_NO	DATE_REC	FROM	CITY	PURPOSE	CHK_NO	CHK_DT	CURRENCY	AMOUNT	J_NO	EMAIL	SLNO1
1	1/2/2013	MCKV Inst of Engg	Howrah	subscription	322588			4800.00			13A
2	1/2/2013	Allahabad Univ	Ahmedabad	subscription	041509			7000.00		office -ils@ahduni.edu.in	13A
3	1/2/2013	RSET	Cochin	subscription	224368			3850.00		0ffice@rajagiritech.ac.in	13A
4	1/2/2013	Bengal Engg & Sci Univ	Howrah	subscription	142368			7000.00		sharma@library.becs.ac.in	13A
5	1/2/2013	Good Shep Mat Hgr School	Chennai	subscription	012119			500.00		goodsheep@bsnl.in	13A
6	1/2/2013	Grow more Group of Inst	Himatnagar	subscription	057599			500.00		infogrowmore1@gmail.com	13A
7	1/2/2013	Nagaraja	Chandigarh	subscription	236281			1000.00		cnkumar@pu.ac.in	13A
8	1/2/2013	IISER	Mohali	subscription	968246			3300.00	HINDI		13A
9	1/2/2013	Fatima mata Nat Clg	Kollam	subscription	422983			4800.00		fmncklm@md4.vsnl.net.in	13A
10	1/2/2013	AY Vyawahare	Nagpur	subscription	BANKTRANSFER			1000.00		awv4gngp@yahoo.co.in	13A
11	1/2/2013	Maheschandra	Bangalore	Reg immediate settlement of outstanding list							13A
12	1/2/2013	Nat Clg of Engg	Tirunelveli	subscription	130516			500.00		nceng@mhtrust.com	13A
13	1/2/2013	Saveri	Palakkad	subscription	176893			400.00			13A
14	1/2/2013	Bharatha Matha HSS	Palakkad	subscription	176894			500.00		bha_matha@yahoo.com	13A
15	1/2/2013	BK College	Belgaum	subscription	208376			4800.00		bkcasc@rediffmail.com	13A
16	1/2/2013	VKIT& Sci	RR Dist	subscription	903301			3300.00		vkits.info@gmail.com	13A
17	1/2/2013	IBH	Mumbai	subscription	724897			810.00		ibhmag@vsnl.net	13A
18	1/2/2013	NSS Trg Clg	Kottayam	subscription	196318			2000.00		principal@nsstcchry.org	13A
19	1/2/2013	Farook Clg	Kozhikode	subscription	746123			3450.00		mailfarookcollege.ac.in	13A
20	1/2/2013	VNS Bandekar Clg of Commerce	Goa	subscription	214938			1950.00		info@dmscollege.ac.in	13A
21	1/2/2013	Informatics	Bang	subscription	020098			2295.00		info@informindia.co.in	13A
22	1/2/2013	Clg of Agrl	Junagadh	subscription	477896			4300.00			13A
23	1/2/2013	Rajasthan Clg of Engg for W	Kota	subscription	652523			2450.00		rcewjaipur@rediffmail.com	13A
24	1/2/2013	BKD Clg of Education for W	Sirmour	subscription	214322			1500.00			13A
25	1/2/2013	Deogiri Clg	Aurangabad	subscription	049927			2300.00			13A
26	1/2/2013	St Thomas Inst of Sci & Tech	Trivandrum	subscription	293451			2050.00		principal.stist@gmail.com	13A
27	1/2/2013	Sahrdaya Clg of Engg	Kodakara	subscription	483865			3300.00			13A
28	1/2/2013	indhura Clg of Engg & Tech	Karimnagar	subscription	344527			2350.00			13A
29	1/2/2013	TN Vet & Anim Sci Univ	Namakkal	subscription	641321			2300.00			13A
30	1/2/2013	Apex Inst of Engg & Tech	Jaipur	subscription	001849			2250.00			13A
31	1/2/2013	Christian Clg of Engg & tech	Durg	subscription	808587			400.00		mpccet@mpccet.ac.in	13A
32	1/2/2013	TDR Polytechnic	Nalgonda	subscription	836951			300.00		tdrpolytechnic@gmail.com	13A
33	1/2/2013	Bhojia nst of Life Sci	Solan	subscription	915734			4400.00			13A
34	1/2/2013	Clg of Fishereies	Tripura	subscription	268079			2700.00		cofcau@rediffmail.com	13A
35	1/2/2013	MS Kakade Clg	Pune	subscription	308774			1500.00			13A
36	1/2/2013	Chalpati Inst of Engg & Tech	Guntur	subscription	314226			4800.00		chalapathiengtech@yahoo.com	13A
37	1/2/2013	Indraprastha Inst of Tech	JPNagar	subscription	228144			3100.00		librarian.ipit@gmail.com	13A
38	1/2/2013	Nandha Clg of Pharmacy	Erode	subscription	452708			2700.00		nandha_pharmacy@yahoo.co.in	13A
39	1/2/2013	Dav Clg	Amritsar	subscription	341594			2750.00		davasr@yahoo.com	13A
40	1/2/2013	Desh Bhagat Polytechnic Clg	Dhuri	subscription	388030			3300.00		dbpcdhuri@gmail.com	13A
41	1/2/2013	CT Inst of Engg & Mgm & tech	Jalandhar	subscription	051241			1550.00		ct_shahpur@sify.com	13A
42	1/2/2013	Govt Degree Clg	Medak	subscription	689168			2200.00			13A
43	1/2/2013	Herbal Res & Dev Inst	Uttarkhand	Curr 103/8	380502			100.00			13A
44	1/2/2013	sASTRA uNIVERSITY	Thanjavur	subscription	700258			3300.00			13A
45	1/2/2013	T John college	Bangalore	subscription	053610			1900.00			13A
46	1/2/2013	Seva Mandir	Udaipur	claim				0.00		info@sevamandir.org	13A
47	1/2/2013	Kuriakose Elias college	Kottayam	subscription	223787			750.00			13A
48	1/2/2013	RC Patel Inst of Pharmacy	Mumbai	subscription	149098			3100.00			13A
49	1/2/2013	KC Engg & Tech	Trichy	subscription	623430			3750.00		principalkncet@gmail.com	13A
50	1/2/2013	KS Rangaswamy Clg of A.S.Com	Namakkal	subscription	660983			4950.00		contact@ksrcas.edu	13A
51	1/2/2013	Kongu Arts & Sci Clg	Erode	subscription	541853			3000.00			13A
52	1/2/2013	Informatics	Bang	subscription	020103			450.00		info@informindia.co.in	13A
53	1/2/2013	Modern Clg	Imphal	subscription	520609			4800.00			13A
54	1/2/2013	Sri Eashwar Clg of Engg	Coimbatore	subscription	833778			2250.00		secelibrary@gmail.com	13A
55	1/2/2013	"Govt of ndia, Min of Defence"	Chennai	subscription	968097			500.00	HINDI		13A
56	1/2/2013	Nanda Nath S Clg	Jorhat	subscription	336273			4800.00		nnscollege@gmail.com	13A
57	1/2/2013	Inst of Phys	Bhubaneswar	subscription	204322			1650.00			13A
58	1/2/2013	Central Academy of State Forest Service	Coimbatore	subscription	820644			4000.00		sfsc_cbe@yahoo.co.in	13A
59	1/2/2013	JECRC Foundation	Jaipur	subscription	704995			500.00		info@udml.ac.in	13A
60	1/2/2013	Besant Clg of Engg & Tech (Principal)	Gurdaspur	Invoice						principalbcetgurdaspur@yahoo.com	13A
61	1/2/2013	"Agra Clg, Central Library"	Agra	Invoice							13A
62	1/2/2013	Ministry of env forest	Kolkata	Advertisement	446845			3000.00			13A
63	1/2/2013	Bioinformatics Group	Pune	Advertisement	015446			11760.00			13A
64	1/2/2013	Institute of Geomagnetism	Mumbai	subscription	BANKTRANSFER			0.00	Recd on 21/12/2012 (DUP) Ref A-65/2013		13A
65	1/2/2013	Institute of Geomagnetism	Mumbai	subscription	BANKTRANSFER			20950.00		iiglib@iigs.iigm.res.in	13A
66	1/2/2013	Viswakarama Inst of Tech	Pune	Invoice					Req for invoice dt 16/10/12		13A
